catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,q95Frac,high_fdc
1,-121.0124969,55.06528091,73.37758369,0.526384659,0.115044137,0.627500199,0.14193098,2.785314804,3.567956859,5.107991655
2,-107.7436066,54.93027878,59.863431,1.090385858,0.776309029,0.774758945,0.009915667,15.16264884,2.691395385,2.940892418
3,-57.78382874,48.80664063,64.88588097,0.319909913,-0.067023737,0.463603263,0.127666932,3.147555198,3.565869606,5.268547722
4,-58.78358078,48.10839081,58.912615,0.293206619,-0.13850709,0.44087912,0.119203766,3.43543448,3.638486927,5.772466757
5,-55.33000183,47.21641922,46.02962534,0.367294997,-0.114925203,0.567033703,0.150533931,4.610717949,2.628889715,3.323346397
6,-79.60658264,45.94918823,49.22290043,0.5820909,0.184026333,0.521336764,0.056875927,6.772831194,3.738901939,5.481297918
7,-95.85211182,63.65258026,80.8302337,0.695123089,0.705378168,0.754989352,0.171395292,2.333131084,3.07125147,3.651103159
8,-94.19805908,58.01353073,71.34529121,0.677684788,0.688031452,0.497648332,0.019054675,6.928161141,3.917998068,5.669402945
9,-95.66385651,57.65327835,69.8234265,0.75593625,0.726725769,0.568209044,0.051888665,4.950988413,3.795926393,5.256703827
10,-93.45305634,57.02305984,69.14306306,0.734890562,0.705417849,0.554018486,0.039866423,5.195880005,3.547847144,4.741122497
11,-94.21617126,56.51258087,67.61102982,0.799080001,0.710305148,0.578428325,0.07738659,4.291672484,3.621108377,5.136659472
12,-62.1614418,56.37313843,84.39304644,0.391909932,0.22279835,0.543515081,0.029389282,5.747519567,4.134184798,6.106103455
13,-62.11032867,56.34056091,80.21227398,0.402862678,0.196309794,0.593257346,0.007225436,14.61991146,3.949904933,5.714567533
14,-94.69664764,56.34156036,66.5439147,0.804752358,0.700275,0.588096339,0.041920792,5.880196715,3.810981055,5.191659985
15,-93.64111328,56.67694092,67.84938877,0.762259931,0.702523507,0.50343863,0.047987653,4.623173066,4.20612594,6.031205498
16,-97.35762024,55.99525833,65.75691574,0.848173003,0.728447829,0.657581389,0.112406556,3.959357528,3.382095381,4.708932812
17,-98.49,55.91,64.12654361,0.867420901,0.732476444,0.50494977,0.077146228,3.690346568,4.466360628,7.218273837
18,-98.19207764,55.48984909,63.46931257,0.87119536,0.736813925,0.610233665,0.073952002,4.861521131,3.5495577,4.975116322
19,-99.22088623,55.49662018,62.94109882,0.919986325,0.734032751,0.740870833,0.167487671,3.224367804,2.970822046,4.075848677
20,-61.30168915,55.23413849,81.40389846,0.368594074,0.292196457,0.615328695,0.100184366,3.389191373,3.938064814,5.400621258
21,-97.00517273,55.74061966,62.85291017,0.912097343,0.735102933,0.879152264,0.242993305,3.349568504,2.230409972,2.319759778
22,-97.77500153,53.82221985,57.96504564,0.87534654,0.744531355,0.72915407,0.170595624,2.836126375,2.707965961,3.392259785
23,-60.29330826,53.51280975,74.49271856,0.433499914,0.268505889,0.490503309,0.095683151,3.715426377,4.327347781,6.386723569
24,-85.6515274,54.28974915,68.22311804,0.630363767,0.639123317,0.570115466,0.044918967,5.309326699,3.743247208,5.027861476
25,-61.55855942,53.14738846,77.6145659,0.381918495,0.28993848,0.588064198,0.124131448,4.002236243,3.69997754,5.351314038
26,-57.49385834,53.53427887,78.03310928,0.333138539,0.161771157,0.594653469,0.12077342,3.323074234,3.85682986,5.553399441
27,-56.87121964,52.64860916,75.9688867,0.357020368,0.021732419,0.499735184,0.105540169,3.572760219,4.166305091,6.410935771
28,-92.51351929,52.65536118,61.68647077,0.682132489,0.666326632,0.565050005,0.133553595,2.480792756,3.707957893,5.110003492
29,-87.22769165,54.4996109,65.76451056,0.642008804,0.635938188,0.756811924,0.215184312,2.795051641,2.661672374,3.111774869
30,-61.31694031,52.22980881,75.85904471,0.378092407,0.289930056,0.60137005,0.180370263,2.65317687,3.684858382,5.500509697
31,-90.18669128,52.58058167,63.39514863,0.659344984,0.647180156,0.65399752,0.16033045,2.965863024,2.952620049,3.7160225
32,-64.66161346,52.96844101,75.46518995,0.384723475,0.373894433,0.718928052,0.196078699,2.91710367,3.066106926,4.046831431
33,-91.5945816,51.17377853,63.13710999,0.680567831,0.658061404,0.837968381,0.333192256,2.454239047,2.093831202,2.37556889
34,-93.09191895,50.90560913,62.27214971,0.704950192,0.669399909,0.833826307,0.379690513,2.029396313,2.122464293,2.453919026
35,-56.11169052,50.9244194,72.66662916,0.377693111,-0.072841435,0.51362199,0.091631728,4.338837305,3.813470195,5.421975949
36,-99.5461731,51.8484993,55.83104187,0.972873735,0.720241992,0.873337404,0.024652079,12.3619107,2.266153826,2.194783591
37,-93.97019196,50.67699814,58.56290455,0.745541848,0.703745538,0.769333069,0.148584859,4.484263374,2.987665739,3.960268961
38,-80.86393738,51.16083145,61.86912943,0.66393026,0.47123294,0.490709057,0.037644958,5.708465547,4.145427036,5.972870724
39,-57.15161133,50.60747147,68.78675733,0.33239268,-0.075952536,0.576371093,0.182382738,2.781389807,3.097694438,4.153385111
40,-61.7136116,50.42721939,74.31935874,0.375852468,0.208830994,0.643339242,0.226047642,2.228915653,3.191943535,4.467845709
41,-94.46640778,50.35224915,56.87968046,0.768930667,0.707283722,0.736570122,0.225093909,2.786899994,2.900000312,3.976903865
42,-66.1902771,50.35028076,72.62664264,0.397625802,0.361786786,0.654022445,0.19377385,2.724556043,3.190586608,4.316281164
43,-57.57752991,50.16231155,62.06429843,0.307576051,-0.088047458,0.516938346,0.101041144,5.271900723,3.145620697,4.365463548
44,-93.25858307,50.50756073,58.54048753,0.720753005,0.663693391,0.843988975,0.256116401,3.213024838,2.337297677,2.777016667
45,-99.21439362,49.90092087,47.63343074,1.14164471,0.669491018,0.655104885,0.310672237,2.414962459,2.253600107,3.549316431
46,-56.22214127,49.8935318,68.61909219,0.41375335,-0.083151957,0.41653872,0.048279374,6.113875132,4.138232039,6.539023144
47,-91.5407486,50.16727829,59.62144759,0.669281747,0.619825901,0.778103647,0.253416302,2.89251218,2.622307817,3.365731023
48,-57.15942001,49.81066895,75.82029767,0.281862557,-0.07049116,0.483670769,0.136223918,2.902485646,3.863563306,5.714216791
49,-88.93161011,50.86841965,61.74792424,0.682477028,0.568023343,0.79420804,0.27234527,2.484863747,2.518229407,3.056972409
50,-80.76407623,51.07672119,62.77807155,0.582780677,0.419036631,0.521961069,0.084521449,4.477014384,3.751340923,5.390783381
51,-57.29,49.62,76.15098393,0.276952971,-0.024937364,0.505682342,0.123859261,3.618378702,3.388486804,4.694904423
52,-85.22618866,49.76419067,58.89136434,0.657633478,0.437237078,0.499733447,0.079913404,3.398803955,4.205968667,6.37819735
53,-87.96543884,49.59761047,60.113776,0.636072063,0.435588915,0.547581013,0.12668923,2.728143862,4.050555749,6.009472455
54,-57.10400009,49.26667023,61.59648501,0.40752988,-0.081069574,0.380734488,0.06171881,5.044524566,3.866501896,5.938756608
55,-57.36024857,49.24291992,67.15879163,0.338429311,-0.050352882,0.525003915,0.151175035,3.132910632,3.309742,4.528454906
56,-95.95683289,49.93878174,47.61132712,0.865153603,0.703687232,0.567558623,0.021013311,6.598208829,4.188858785,5.44999442
57,-56.67,49.34,65.41655137,0.398666128,-0.053678507,0.59674201,0.218580349,2.724874484,2.964225985,4.038832788
58,-55.05199814,49.21607971,60.18475438,0.443211339,-0.031406967,0.535892161,0.122840457,4.75142375,3.218305794,4.646308837
59,-84.53694153,49.77288818,59.55113821,0.641933038,0.41981419,0.618555507,0.142710197,2.762167537,3.280395372,4.320183728
60,-58.10519028,49.05831146,55.84593349,0.335001248,-0.043384004,0.359416084,0.051163768,5.663412598,4.113566881,6.641877558
61,-87.37677765,48.97811127,61.47794944,0.573572101,0.418891573,0.440979849,0.070423072,4.815891093,4.219515599,7.228706808
62,-55.39669037,49.10382843,56.46511351,0.469692531,-0.052114092,0.473069111,0.118705433,4.018980654,3.55736173,5.346546461
63,-53.88566971,49.04217148,59.30017819,0.476904783,-0.065544249,0.648915048,0.130403083,5.440105786,2.5811532,3.274310817
64,-54.91688919,49.01128006,62.7211959,0.454486926,-0.065603616,0.425851726,0.079837268,4.779343585,3.665864362,5.541842605
65,-57.61141968,49.01227951,60.99433261,0.366647463,-0.074324798,0.47021073,0.149693429,2.853024418,3.556388213,5.417031695
66,-72.26361084,48.88777924,65.73765186,0.430053342,0.352742784,0.613747287,0.202052513,2.685804881,3.224738938,4.530931922
67,-88.37686157,48.90422058,56.76707208,0.710226028,0.463456999,0.671667704,0.155289988,3.131110457,3.158642397,4.424752446
68,-72.0477829,48.81417084,61.87322601,0.443776859,0.340652751,0.583119293,0.198661535,2.564062372,3.303494942,4.783600689
69,-86.29660797,48.77407837,58.21724848,0.65237951,0.430699394,0.565081582,0.134330227,2.633113249,3.66374182,5.329509699
70,-66.48667145,49.0588913,65.19269311,0.381385363,0.15431421,0.536768179,0.161148193,2.463663223,3.930927041,6.232800086
71,-54.22256088,48.80738831,59.66068556,0.463673417,-0.090750409,0.656251163,0.158481915,4.63694755,2.504580356,3.087489979
72,-88.53460693,48.82168961,56.9683727,0.709714952,0.457118545,0.558337727,0.098154372,3.61662159,3.946471103,6.0838771
73,-91.58,48.75,55.26792517,0.706106761,0.578593705,0.718044355,0.240178648,2.564749695,3.105263088,4.452524279
74,-58.36264038,48.57582855,61.14091612,0.306461765,-0.050407889,0.582702632,0.230803872,2.677989806,2.928781794,4.095912937
75,-89.24,48.56,57.20933514,0.733274224,0.457473126,0.485683945,0.070809835,4.064916039,4.190402944,6.682490411
76,-53.97888947,48.60771942,56.37318474,0.472863972,-0.106877462,0.423489965,0.075432736,5.165186737,3.744292533,5.596882588
77,-89.17503357,48.51956177,56.01322117,0.767583679,0.437472059,0.457346226,0.060240347,4.89510175,4.225543355,6.867455771
78,-66.1680603,48.62833023,65.30856552,0.384726324,0.177609393,0.542137,0.1621962,2.328354718,3.985787335,6.041824236
79,-70.97416687,48.4888916,65.05194882,0.388158774,0.300087261,0.593278719,0.192350204,2.712319031,3.320896547,4.749164913
80,-57.93,48.62,62.70322084,0.342092693,-0.10386141,0.53840183,0.186262978,2.749400274,3.181543814,4.414805252
81,-72.51389313,48.68360901,62.36284406,0.507586498,0.289072139,0.53724318,0.17898442,2.394625163,3.897556675,6.064274666
82,-89.21861267,48.44919968,52.17167115,0.839970471,0.428031561,0.447075724,0.02828571,6.509825817,4.0114279,6.504979874
83,-55.52869034,48.8266716,59.51281192,0.440132007,-0.074665378,0.47008541,0.094574,4.694810946,3.627650238,5.163153989
84,-53.30160904,48.3959198,59.96776073,0.446220536,-0.106806659,0.593310149,0.151800491,4.464584334,2.732923805,3.369500044
85,-89.3065567,48.38338852,51.66095753,0.835966861,0.440407488,0.423642983,0.035395706,4.937056263,4.441159515,7.852439411
86,-53.67393875,48.38066864,56.74242799,0.476809659,-0.139356435,0.481684267,0.059453466,6.493609554,3.283874987,4.491805608
87,-89.80986023,48.29211044,53.64580803,0.768076537,0.485842146,0.460412828,0.070027473,3.351168604,4.595842874,7.828288453
88,-54.85066986,49.01628113,56.79502086,0.45070504,-0.091911874,0.614880862,0.171959031,3.983234531,2.710137624,3.487864427
89,-55.48281097,48.16875076,54.35475835,0.443872552,-0.127147472,0.416758577,0.086422605,4.721789521,3.634024708,5.485126172
90,-65.55860901,48.18611145,62.45066284,0.425502686,0.081429404,0.517609291,0.160855684,2.214955095,3.98157625,6.151127856
91,-54.04964066,48.22016907,55.19278592,0.458797956,-0.15197483,0.528646653,0.108143831,5.038375727,2.990152033,3.94954659
92,-54.20042038,48.39699936,55.71760847,0.464331777,-0.146206775,0.555967484,0.112728579,5.101055763,2.913485158,3.769930116
93,-54.01525116,48.66275024,56.96387678,0.4586588,-0.129565474,0.645817831,0.185150149,4.051004244,2.538978957,3.155922359
94,-57.83,48.24,64.05003739,0.30411262,-0.122545432,0.51414944,0.162569217,3.00573202,3.369343057,4.808790181
95,-83.26667023,49.6139183,57.27539004,0.650271643,0.369714625,0.53832588,0.109206177,2.691777971,4.088133238,6.078280354
96,-54.28432846,47.94667053,52.89629684,0.457383871,-0.166404586,0.54741074,0.133040763,4.415494784,2.932538001,3.840729452
97,-53.94866943,47.91875076,52.65807687,0.425980486,-0.158773551,0.42647917,0.083297257,5.359097193,3.559569405,5.308924163
98,-66.49060822,47.98788834,61.51835512,0.500534315,0.099164692,0.452111231,0.10198633,3.5018748,4.552159737,7.467987542
99,-57.73318863,47.8560791,64.46149023,0.280207188,-0.152187071,0.384707131,0.092738723,4.108268495,3.662064593,5.813298342
100,-79.87931061,47.88914108,57.23367283,0.611485995,0.303187634,0.575069483,0.172004522,2.77726993,3.461842817,5.069186897
101,-55.44021988,47.74682999,54.8719341,0.41766992,-0.13717605,0.675612593,0.228364496,3.493103361,2.370890518,2.807500685
102,-71.38,47.94,67.22157638,0.357008398,0.244526577,0.598726167,0.218771528,2.323374509,3.353294632,4.963067242
103,-66.02522278,47.89381027,62.05920158,0.4642708,0.117434345,0.462803978,0.105792737,3.177603634,4.500527127,7.245962014
104,-71.64527893,48.18222046,62.71831595,0.383611727,0.269339954,0.608266571,0.209133164,2.502659624,3.179967381,4.629241639
105,-59.00978088,47.61333084,61.28613952,0.292591979,-0.114001153,0.38827441,0.079492864,4.161373738,3.645422832,5.400529601
106,-65.15538788,47.70560837,58.74986509,0.485141786,0.035555644,0.560899985,0.210750213,2.368204307,3.647599979,5.671598825
107,-52.74847031,47.56425095,46.71688715,0.490646445,-0.196810741,0.491915159,0.157714152,3.231613615,3.154283036,4.618191747
108,-53.30807877,47.58306122,39.53506854,0.411604324,-0.14766311,0.506738245,0.133941535,4.118477634,3.147081616,4.549959415
109,-65.72180939,47.60839081,60.40401406,0.459745082,0.102225516,0.421071533,0.063753109,4.436422091,4.647319019,7.4466081
110,-68.35682678,47.45782852,57.46018431,0.506017804,0.15526503,0.498002408,0.132746127,3.041048476,3.744536714,5.740072185
111,-54.85303116,47.45003128,50.32891068,0.342241449,-0.106070016,0.468452981,0.113259351,4.678263787,3.210042212,4.644931009
